,train,val,test
0,C3L-00004-26,C3L-00088-22,C3L-00010-26
1,C3L-00011-26,C3L-00097-26,C3L-00079-26
2,C3L-00026-21,C3L-00183-26,C3L-00359-21
3,C3L-00096-26,C3L-00448-26,C3L-00561-26
4,C3L-00103-26,C3L-00908-26,C3L-00813-21
5,C3L-00360-26,C3L-00917-21,C3L-00902-26
6,C3L-00369-22,C3L-01281-23,C3N-00310-22
7,C3L-00416-21,C3N-00320-21,C3N-00390-26
8,C3L-00418-21,C3N-00494-24,C3N-00831-25
9,C3L-00447-22,C3N-00832-21,C3N-00834-25
10,C3L-00581-22,C3N-01175-21,C3N-01176-21
11,C3L-00583-22,TCGA-A3-3313-01A-01-TS1,C3N-01213-21
12,C3L-00606-22,TCGA-A3-3320-01A-01-BS1,C3N-01524-23
13,C3L-00607-22,TCGA-A3-3322-11A-01-TS1,TCGA-A3-3306-01A-01-TS1
14,C3L-00791-21,TCGA-A3-3324-01A-01-BS1,TCGA-A3-3336-01Z-00-DX1
15,C3L-00796-21,TCGA-A3-3365-01Z-00-DX2,TCGA-A3-3352-11A-01-TS1
16,C3L-00800-22,TCGA-A3-3387-11A-01-TS1,TCGA-AK-3434-01A-02-BS2
17,C3L-00814-21,TCGA-AK-3428-01A-01-BS1,TCGA-AK-3447-01A-01-TS1
18,C3L-00907-23,TCGA-AK-3458-01Z-00-DX1,TCGA-AK-3453-01A-01-BS1
19,C3L-00910-26,TCGA-B0-4696-11A-01-BS1,TCGA-AK-3454-01Z-00-DX1
20,C3L-01283-21,TCGA-B0-4817-01A-01-TS1,TCGA-B0-4823-01Z-00-DX1
21,C3L-01286-21,TCGA-B0-4824-11A-01-TS1,TCGA-B0-4828-11A-01-BS1
22,C3L-01287-23,TCGA-B0-4833-01Z-00-DX1,TCGA-B0-5084-01A-01-BS1
23,C3L-01288-23,TCGA-B0-4844-01Z-00-DX1,TCGA-B0-5085-01A-01-BS1
24,C3L-01302-26,TCGA-B0-5080-01Z-00-DX1,TCGA-B0-5099-11A-01-TS1
